Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,2354.850098,2379.949951,2338.000000,2375.500000,2367.828369,543004
2023-03-13,2372.750000,2376.949951,2321.000000,2332.000000,2324.468994,631722
2023-03-14,2336.949951,2391.850098,2328.850098,2355.600098,2347.992920,1470817
2023-03-15,2380.000000,2413.850098,2379.949951,2399.100098,2391.352295,1656307
2023-03-16,2413.500000,2482.000000,2413.000000,2450.350098,2442.436768,2317115
2023-03-17,2467.149902,2474.000000,2447.399902,2455.649902,2447.719482,1625905
2023-03-20,2462.000000,2474.949951,2441.550049,2459.949951,2452.005615,918922
2023-03-21,2475.000000,2521.550049,2468.050049,2514.050049,2505.931152,1652107
2023-03-22,2517.949951,2524.000000,2495.000000,2508.149902,2500.050049,754732
2023-03-23,2510.000000,2528.000000,2494.050049,2519.050049,2510.915039,610778
2023-03-24,2516.800049,2519.699951,2474.949951,2493.350098,2485.298096,838919
2023-03-27,2480.000000,2510.000000,2466.800049,2494.399902,2486.344482,728727
2023-03-28,2502.899902,2507.149902,2493.899902,2500.300049,2492.225586,599191
2023-03-29,2500.300049,2525.000000,2494.000000,2515.050049,2506.927734,710603
2023-03-31,2526.949951,2536.750000,2500.000000,2514.899902,2506.778076,848456
2023-04-03,2525.899902,2544.649902,2513.300049,2537.399902,2529.205566,701713
2023-04-05,2560.000000,2581.500000,2550.100098,2572.699951,2564.391602,1438377
2023-04-06,2583.000000,2584.000000,2545.000000,2548.449951,2540.219971,1192271
2023-04-10,2568.000000,2602.000000,2561.050049,2583.699951,2575.355957,1497452
2023-04-11,2583.699951,2603.500000,2576.000000,2580.050049,2571.718018,820568
2023-04-12,2580.050049,2593.449951,2564.149902,2587.899902,2579.542480,553807
2023-04-13,2588.000000,2599.949951,2577.300049,2585.649902,2577.299805,481459
2023-04-17,2600.000000,2612.250000,2582.300049,2605.600098,2597.185547,1044487
2023-04-18,2603.050049,2607.649902,2560.100098,2577.699951,2569.375488,674756
2023-04-19,2580.050049,2595.949951,2562.000000,2569.300049,2561.002686,687292
2023-04-20,2577.649902,2619.000000,2570.500000,2579.250000,2570.920410,995472
2023-04-21,2593.600098,2594.550049,2559.250000,2568.300049,2560.005859,409932
2023-04-24,2571.100098,2636.399902,2570.000000,2629.550049,2621.058105,1026391
2023-04-25,2634.850098,2637.000000,2614.949951,2633.199951,2624.696289,630987
