Date,Open,High,Low,Close,Adj Close,Volume
2023-03-10,221.149994,222.199997,219.500000,221.149994,220.042404,1662994
2023-03-13,221.750000,222.399994,214.449997,215.149994,214.072449,1216664
2023-03-14,216.250000,216.250000,211.100006,211.600006,210.540237,1260125
2023-03-15,213.649994,215.000000,207.350006,208.100006,207.057770,1551401
2023-03-16,208.699997,213.550003,204.800003,212.350006,211.286484,2949061
2023-03-17,213.649994,215.949997,210.699997,213.550003,212.480469,1607787
2023-03-20,210.000000,212.750000,208.449997,211.399994,210.341232,2252848
2023-03-21,211.949997,212.350006,209.800003,210.699997,209.644745,882498
2023-03-22,212.000000,215.300003,211.699997,213.300003,212.231720,1175566
2023-03-23,213.350006,215.600006,212.000000,212.350006,211.286484,1165186
2023-03-24,213.000000,213.350006,210.050003,210.750000,209.694489,858790
2023-03-27,211.100006,211.699997,207.000000,207.750000,206.709518,1638779
2023-03-28,208.800003,209.100006,202.000000,202.600006,201.585312,1464627
2023-03-29,203.000000,206.500000,202.500000,204.300003,203.276794,2275261
2023-03-31,206.250000,210.250000,206.250000,208.750000,207.704514,2351298
2023-04-03,210.600006,213.000000,209.600006,212.399994,211.336227,1372803
2023-04-05,213.550003,213.899994,210.000000,210.500000,209.445740,3198306
2023-04-06,211.600006,219.199997,210.100006,217.199997,216.112183,3402190
2023-04-10,225.000000,235.449997,224.000000,229.649994,228.499832,10488226
2023-04-11,230.699997,231.600006,227.300003,229.100006,227.952591,1792909
2023-04-12,229.100006,233.949997,228.550003,232.500000,231.335556,3669115
2023-04-13,232.800003,238.399994,231.949997,235.399994,234.221024,2903527
2023-04-17,235.699997,240.699997,234.300003,239.449997,238.250748,3238033
2023-04-18,240.100006,244.500000,238.100006,241.850006,240.638733,3195548
2023-04-19,240.500000,242.399994,239.399994,241.300003,240.091492,1995454
2023-04-20,243.699997,250.550003,241.399994,247.699997,246.459427,5970295
2023-04-21,248.000000,248.850006,242.100006,244.449997,243.225708,1925731
2023-04-24,244.449997,246.649994,243.100006,246.050003,244.817703,1314931
2023-04-25,245.100006,246.300003,242.149994,243.149994,241.932220,1049318
2023-04-26,243.149994,246.350006,242.149994,245.649994,244.419693,956723
2023-04-27,247.000000,247.500000,244.300003,245.899994,244.668442,1253014
2023-04-28,246.899994,249.000000,245.100006,248.449997,247.205673,1786184
2023-05-02,247.899994,248.350006,243.550003,244.949997,243.723206,1622238
2023-05-03,244.949997,247.350006,243.149994,246.050003,244.817703,1269476
2023-05-04,245.000000,246.800003,241.100006,242.399994,241.185974,1977605
2023-05-05,243.850006,250.000000,243.350006,246.250000,245.016693,3761499
2023-05-08,247.149994,262.899994,245.649994,258.500000,257.205353,8512510
2023-05-09,260.200012,267.200012,258.500000,259.649994,258.349579,5323372
